Cnode ID, Thread ID,execution,mpi,comp
0,0,222.41,2.41879,219.991
0,1,222.403,5.92694,216.476
0,2,222.411,4.68193,217.729
0,3,222.402,5.06976,217.332
0,4,222.405,5.18292,217.222
0,5,222.409,5.00861,217.4
0,6,222.411,4.07735,218.333
0,7,222.409,3.4985,218.91
0,8,222.405,8.55353,213.852
0,9,222.404,5.43392,216.97
0,10,222.41,5.16255,217.247
0,11,222.406,4.35095,218.055
0,12,222.371,149.448,72.9228
0,13,222.367,148.036,74.331
0,14,222.371,148.58,73.7907
0,15,222.372,150.344,72.028
0,16,222.377,149.636,72.7406
0,17,222.377,148.093,74.2844
0,18,222.378,147.14,75.2386
0,19,222.377,148.481,73.8962
0,20,222.377,149.657,72.7201
0,21,222.376,147.825,74.5507
0,22,222.377,147.067,75.3095
0,23,222.376,148.544,73.8317
1,0,0.00876501,0,0.00876501
1,1,0.007849,0,0.007849
1,2,0.00859768,0,0.00859768
1,3,0.00820769,0,0.00820769
1,4,0.010614,0,0.010614
1,5,0.00959949,0,0.00959949
1,6,0.00849981,0,0.00849981
1,7,0.00827753,0,0.00827753
1,8,0.0103365,0,0.0103365
1,9,0.00836095,0,0.00836095
1,10,0.00876362,0,0.00876362
1,11,0.00981681,0,0.00981681
1,12,0.00659934,0,0.00659934
1,13,0.00762067,0,0.00762067
1,14,0.0065268,0,0.0065268
1,15,0.00684768,0,0.00684768
1,16,0.00714504,0,0.00714504
1,17,0.00604031,0,0.00604031
1,18,0.00584147,0,0.00584147
1,19,0.00737796,0,0.00737796
1,20,0.00487505,0,0.00487505
1,21,0.00800239,0,0.00800239
1,22,0.00596129,0,0.00596129
1,23,0.00634482,0,0.00634482
2,0,207.755,2.24364,205.511
2,1,205.359,5.40545,199.953
2,2,205.425,4.18116,201.244
2,3,205.196,4.50373,200.692
2,4,205.437,4.5472,200.89
2,5,205.049,4.24728,200.801
2,6,206.024,3.21568,202.808
2,7,206.06,2.69137,203.369
2,8,203.681,7.19001,196.491
2,9,205.103,4.32789,200.775
2,10,204.955,4.03481,200.921
2,11,204.885,2.87191,202.013
2,12,214.683,147.011,67.6711
2,13,214.834,145.642,69.1923
2,14,214.793,146.18,68.6132
2,15,214.575,147.907,66.667
2,16,216.185,148.812,67.3725
2,17,216.165,147.284,68.8812
2,18,215.771,146.308,69.4633
2,19,215.559,147.575,67.9836
2,20,215.459,148.717,66.7424
2,21,215.913,146.921,68.9923
2,22,215.814,146.152,69.662
2,23,215.396,146.696,68.6995
7,0,0.00167538,0,0.00167538
7,1,0.00193933,0,0.00193933
7,2,0.00205145,0,0.00205145
7,3,0.00180786,0,0.00180786
7,4,0.00211093,0,0.00211093
7,5,0.00266511,0,0.00266511
7,6,0.0019322,0,0.0019322
7,7,0.00178896,0,0.00178896
7,8,0.00346415,0,0.00346415
7,9,0.00213617,0,0.00213617
7,10,0.00222439,0,0.00222439
7,11,0.00280043,0,0.00280043
7,12,0.00174604,0,0.00174604
7,13,0.00157232,0,0.00157232
7,14,0.00156746,0,0.00156746
7,15,0.002086,0,0.002086
7,16,0.00134383,0,0.00134383
7,17,0.00117496,0,0.00117496
7,18,0.00126771,0,0.00126771
7,19,0.00140626,0,0.00140626
7,20,0.00192728,0,0.00192728
7,21,0.0012842,0,0.0012842
7,22,0.00122171,0,0.00122171
7,23,0.00219528,0,0.00219528
8,0,0.182314,0.17515,0.00716369
8,1,0.529037,0.521488,0.00754866
8,2,0.508015,0.500771,0.00724355
8,3,0.571735,0.566026,0.0057098
8,4,0.641651,0.635714,0.00593739
8,5,0.768317,0.761327,0.00698936
8,6,0.867454,0.861674,0.00577966
8,7,0.813085,0.807131,0.0059535
8,8,1.3718,1.36352,0.00828094
8,9,1.11295,1.10603,0.00691903
8,10,1.13578,1.12774,0.00804104
8,11,1.48812,1.47903,0.00908861
8,12,2.44123,2.43652,0.00470622
8,13,2.40015,2.39457,0.0055851
8,14,2.40566,2.3999,0.0057619
8,15,2.44118,2.43628,0.00489182
8,16,0.828304,0.824182,0.00412252
8,17,0.814949,0.809316,0.00563208
8,18,0.837173,0.831698,0.00547513
8,19,0.909742,0.905414,0.0043283
8,20,0.9447,0.94003,0.0046696
8,21,0.910391,0.904619,0.00577197
8,22,0.920134,0.914799,0.00533489
8,23,1.85285,1.84797,0.00487676
16,0,0.01633,0,0.01633
16,1,0.0151975,0,0.0151975
16,2,0.0169565,0,0.0169565
16,3,0.0150336,0,0.0150336
16,4,0.0163327,0,0.0163327
16,5,0.0170139,0,0.0170139
16,6,0.0175062,0,0.0175062
16,7,0.0165857,0,0.0165857
16,8,0.0205042,0,0.0205042
16,9,0.0167333,0,0.0167333
16,10,0.0172556,0,0.0172556
16,11,0.016988,0,0.016988
16,12,0.00811039,0,0.00811039
16,13,0.00769383,0,0.00769383
16,14,0.00730274,0,0.00730274
16,15,0.00898457,0,0.00898457
16,16,0.00969787,0,0.00969787
16,17,0.00771462,0,0.00771462
16,18,0.00901692,0,0.00901692
16,19,0.00797491,0,0.00797491
16,20,0.00941959,0,0.00941959
16,21,0.00745184,0,0.00745184
16,22,0.00724625,0,0.00724625
16,23,0.00926719,0,0.00926719
17,0,0.00315983,0,0.00315983
17,1,0.00351564,0,0.00351564
17,2,0.00333517,0,0.00333517
17,3,0.00319469,0,0.00319469
17,4,0.00332215,0,0.00332215
17,5,0.00328843,0,0.00328843
17,6,0.00361138,0,0.00361138
17,7,0.00329339,0,0.00329339
17,8,0.00379645,0,0.00379645
17,9,0.00358116,0,0.00358116
17,10,0.0035848,0,0.0035848
17,11,0.00334243,0,0.00334243
17,12,0.00192154,0,0.00192154
17,13,0.00175014,0,0.00175014
17,14,0.00185213,0,0.00185213
17,15,0.00195568,0,0.00195568
17,16,0.00197997,0,0.00197997
17,17,0.00192124,0,0.00192124
17,18,0.00208055,0,0.00208055
17,19,0.00201618,0,0.00201618
17,20,0.00208124,0,0.00208124
17,21,0.00186301,0,0.00186301
17,22,0.0019512,0,0.0019512
17,23,0.00210893,0,0.00210893
18,0,0.000398026,0,0.000398026
18,1,0.000419036,0,0.000419036
18,2,0.000395732,0,0.000395732
18,3,0.000416721,0,0.000416721
18,4,0.000393237,0,0.000393237
18,5,0.000388488,0,0.000388488
18,6,0.000415559,0,0.000415559
18,7,0.000402384,0,0.000402384
18,8,0.000403026,0,0.000403026
18,9,0.000417433,0,0.000417433
18,10,0.000391594,0,0.000391594
18,11,0.000403687,0,0.000403687
18,12,0.000267401,0,0.000267401
18,13,0.000243116,0,0.000243116
18,14,0.000242615,0,0.000242615
18,15,0.000264686,0,0.000264686
18,16,0.000244378,0,0.000244378
18,17,0.000240421,0,0.000240421
18,18,0.000235201,0,0.000235201
18,19,0.000258505,0,0.000258505
18,20,0.00026679,0,0.00026679
18,21,0.000236003,0,0.000236003
18,22,0.000238056,0,0.000238056
18,23,0.000279464,0,0.000279464
19,0,14.434,0,14.434
19,1,16.4771,0,16.4771
19,2,16.4373,0,16.4373
19,3,16.5972,0,16.5972
19,4,16.2841,0,16.2841
19,5,16.5499,0,16.5499
19,6,15.4781,0,15.4781
19,7,15.497,0,15.497
19,8,17.3026,0,17.3026
19,9,16.1483,0,16.1483
19,10,16.2771,0,16.2771
19,11,15.9903,0,15.9903
19,12,5.22019,0,5.22019
