Cnode ID, Thread ID,execution,mpi,comp
0,0,193.795,32.316,161.479
0,1,193.807,8.76779,185.039
0,2,193.796,31.7047,162.091
0,3,193.812,4.41341,189.398
0,4,193.797,30.8218,162.975
0,5,193.808,5.51969,188.288
0,6,193.795,29.6211,164.174
0,7,193.811,5.49796,188.313
0,8,193.792,30.0382,163.754
0,9,193.805,5.75072,188.055
0,10,193.795,30.5599,163.235
0,11,193.811,3.17342,190.637
0,12,193.8,30.8318,162.968
0,13,193.811,5.88278,187.928
0,14,193.8,29.6747,164.125
0,15,193.813,5.21989,188.593
0,16,193.799,31.573,162.226
0,17,193.81,7.1995,186.61
0,18,193.793,30.3602,163.433
0,19,193.809,4.86944,188.939
0,20,193.791,29.0402,164.751
0,21,193.805,5.70368,188.101
0,22,193.793,30.044,163.749
0,23,193.811,5.17127,188.64
1,0,17.9656,0,17.9656
1,1,31.5807,0,31.5807
1,2,17.7254,0,17.7254
1,3,31.8154,0,31.8154
1,4,17.6539,0,17.6539
1,5,31.4783,0,31.4783
1,6,17.4106,0,17.4106
1,7,31.7387,0,31.7387
1,8,17.4334,0,17.4334
1,9,31.2,0,31.2
1,10,17.2254,0,17.2254
1,11,31.6408,0,31.6408
1,12,17.0924,0,17.0924
1,13,31.1794,0,31.1794
1,14,17.0672,0,17.0672
1,15,31.6054,0,31.6054
1,16,17.5336,0,17.5336
1,17,31.2848,0,31.2848
1,18,17.208,0,17.208
1,19,31.6516,0,31.6516
1,20,17.4694,0,17.4694
1,21,31.289,0,31.289
1,22,17.4291,0,17.4291
1,23,31.7339,0,31.7339
2,0,150.695,27.433,123.262
2,1,129.332,6.87515,122.457
2,2,151.155,26.8555,124.299
2,3,128.528,3.28842,125.239
2,4,151.056,25.7555,125.3
2,5,129.781,4.22546,125.556
2,6,151.311,24.7458,126.565
2,7,128.427,3.96487,124.462
2,8,151.205,25.2122,125.993
2,9,129.961,4.61182,125.349
2,10,151.844,25.7537,126.091
2,11,129.001,2.25874,126.742
2,12,151.596,26.0988,125.497
2,13,130.243,4.35226,125.89
2,14,152.022,25.0186,127.003
2,15,129.368,4.46008,124.908
2,16,151.013,26.7222,124.291
2,17,129.895,6.0672,123.828
2,18,151.685,25.5207,126.165
2,19,128.97,3.49111,125.479
2,20,150.973,24.2519,126.722
2,21,129.647,4.51379,125.134
2,22,151.532,25.3244,126.208
2,23,128.991,4.21773,124.773
7,0,3.1292,0,3.1292
7,1,5.09203,0,5.09203
7,2,2.96095,0,2.96095
7,3,4.94917,0,4.94917
7,4,2.9602,0,2.9602
7,5,4.96245,0,4.96245
7,6,2.86896,0,2.86896
7,7,4.90169,0,4.90169
7,8,2.88317,0,2.88317
7,9,4.8185,0,4.8185
7,10,2.67813,0,2.67813
7,11,4.75249,0,4.75249
7,12,2.68907,0,2.68907
7,13,4.70669,0,4.70669
7,14,2.60555,0,2.60555
7,15,4.70421,0,4.70421
7,16,2.83836,0,2.83836
7,17,4.81215,0,4.81215
7,18,2.67819,0,2.67819
7,19,4.75787,0,4.75787
7,20,2.94627,0,2.94627
7,21,4.90379,0,4.90379
7,22,2.83182,0,2.83182
7,23,4.80234,0,4.80234
8,0,6.35316,4.88296,1.4702
8,1,4.75485,1.89264,2.86221
8,2,6.38437,4.84923,1.53514
8,3,4.61178,1.12499,3.48679
8,4,6.51877,5.06627,1.4525
8,5,4.59667,1.29424,3.30244
8,6,6.41047,4.87524,1.53523
8,7,4.58992,1.53309,3.05683
8,8,6.3385,4.82601,1.5125
8,9,4.57057,1.13889,3.43167
8,10,6.35282,4.80627,1.54655
8,11,4.45767,0.914678,3.54299
8,12,6.25605,4.73297,1.52308
8,13,4.45736,1.53052,2.92684
8,14,6.25015,4.65618,1.59397
8,15,4.3455,0.759815,3.58569
8,16,6.33369,4.85085,1.48284
8,17,4.50833,1.1323,3.37603
8,18,6.3666,4.83949,1.52711
8,19,4.47647,1.37833,3.09814
8,20,6.28299,4.78832,1.49467
8,21,4.54724,1.1899,3.35734
8,22,6.23929,4.71963,1.51966
8,23,4.44253,0.953531,3.489
16,0,5.67401,0,5.67401
16,1,10.7669,0,10.7669
16,2,5.30816,0,5.30816
16,3,11.2927,0,11.2927
16,4,5.46396,0,5.46396
16,5,10.7486,0,10.7486
16,6,5.55479,0,5.55479
16,7,11.4829,0,11.4829
16,8,5.65172,0,5.65172
16,9,10.9183,0,10.9183
16,10,5.26485,0,5.26485
16,11,11.5121,0,11.5121
16,12,5.42573,0,5.42573
16,13,10.9639,0,10.9639
16,14,5.20013,0,5.20013
16,15,11.4816,0,11.4816
16,16,5.83069,0,5.83069
16,17,10.969,0,10.969
16,18,5.36398,0,5.36398
16,19,11.5633,0,11.5633
16,20,5.81234,0,5.81234
16,21,10.9227,0,10.9227
16,22,5.53776,0,5.53776
16,23,11.5214,0,11.5214
17,0,1.71716,0,1.71716
17,1,3.42602,0,3.42602
17,2,1.71456,0,1.71456
17,3,3.52054,0,3.52054
17,4,1.70243,0,1.70243
17,5,3.41213,0,3.41213
17,6,1.70537,0,1.70537
17,7,3.53737,0,3.53737
17,8,1.70903,0,1.70903
17,9,3.42263,0,3.42263
17,10,1.6929,0,1.6929
17,11,3.51942,0,3.51942
17,12,1.70926,0,1.70926
17,13,3.42971,0,3.42971
17,14,1.70988,0,1.70988
17,15,3.54479,0,3.54479
17,16,1.71996,0,1.71996
17,17,3.40767,0,3.40767
17,18,1.69939,0,1.69939
17,19,3.51592,0,3.51592
17,20,1.70618,0,1.70618
17,21,3.42552,0,3.42552
17,22,1.69343,0,1.69343
17,23,3.52158,0,3.52158
18,0,0.412397,0,0.412397
18,1,0.731396,0,0.731396
18,2,0.40345,0,0.40345
18,3,0.959717,0,0.959717
18,4,0.340167,0,0.340167
18,5,0.770773,0,0.770773
18,6,0.347112,0,0.347112
18,7,0.911976,0,0.911976
18,8,0.42976,0,0.42976
18,9,0.71791,0,0.71791
18,10,0.430267,0,0.430267
18,11,0.930798,0,0.930798
18,12,0.431313,0,0.431313
18,13,0.754005,0,0.754005
18,14,0.373879,0,0.373879
18,15,0.935466,0,0.935466
18,16,0.354563,0,0.354563
18,17,0.743399,0,0.743399
18,18,0.422111,0,0.422111
18,19,0.957032,0,0.957032
18,20,0.36112,0,0.36112
18,21,0.761922,0,0.761922
18,22,0.353216,0,0.353216
18,23,0.906022,0,0.906022
19,0,7.83088,0,7.83088
19,1,8.10733,0,8.10733
19,2,8.13213,0,8.13213
19,3,8.12163,0,8.12163
19,4,8.08896,0,8.08896
19,5,8.04441,0,8.04441
19,6,8.1742,0,8.1742
19,7,8.2076,0,8.2076
19,8,8.12947,0,8.12947
19,9,8.1823,0,8.1823
19,10,8.29338,0,8.29338
19,11,7.98387,0,7.98387
19,12,8.5857,0,8.5857
19,13,8.06338,0,8.06338
19,14,8.56055,0,8.56055
19,15,7.8154,0,7.8154
19,16,8.16168,0,8.16168
19,17,8.17566,0,8.17566
19,18,8.35778,0,8.35778
19,19,7.90355,0,7.90355
19,20,8.22642,0,8.22642
19,21,8.29347,0,8.29347
19,22,8.16344,0,8.16344
19,23,7.87941,0,7.87941
