Cnode ID, Thread ID,execution,mpi,comp
0,0,190.69,57.4453,133.244
0,1,190.712,8.53476,182.177
0,2,190.693,55.0947,135.599
0,3,190.714,4.37973,186.334
0,4,190.686,55.5477,135.139
0,5,190.705,5.66881,185.037
0,6,190.688,54.6021,136.086
0,7,190.712,3.91736,186.794
0,8,190.688,54.0599,136.628
0,9,190.707,5.39046,185.316
0,10,190.687,54.4435,136.243
0,11,190.71,3.85257,186.858
0,12,190.691,54.4406,136.25
0,13,190.713,6.17375,184.54
0,14,190.69,54.3162,136.374
0,15,190.711,5.27901,185.432
0,16,190.691,54.5895,136.102
0,17,190.714,5.91436,184.799
0,18,190.696,54.2561,136.44
0,19,190.716,3.6708,187.045
0,20,190.695,53.7557,136.94
0,21,190.715,5.47987,185.235
0,22,190.697,54.6261,136.071
0,23,190.719,2.98614,187.733
1,0,0.0575161,0,0.0575161
1,1,30.816,0,30.816
1,2,0.0528066,0,0.0528066
1,3,31.1704,0,31.1704
1,4,0.0554814,0,0.0554814
1,5,30.9341,0,30.9341
1,6,0.0532696,0,0.0532696
1,7,31.1821,0,31.1821
1,8,0.0541855,0,0.0541855
1,9,30.6971,0,30.6971
1,10,0.0534741,0,0.0534741
1,11,31.1098,0,31.1098
1,12,0.0553667,0,0.0553667
1,13,30.7879,0,30.7879
1,14,0.0523184,0,0.0523184
1,15,31.1735,0,31.1735
1,16,0.0545331,0,0.0545331
1,17,30.7468,0,30.7468
1,18,0.053484,0,0.053484
1,19,31.167,0,31.167
1,20,0.0521626,0,0.0521626
1,21,30.546,0,30.546
1,22,0.0517107,0,0.0517107
1,23,31.1308,0,31.1308
2,0,172.878,49.7011,123.177
2,1,129.366,7.06295,122.303
2,2,173.198,47.4285,125.77
2,3,128.925,3.60935,125.316
2,4,172.871,47.7748,125.097
2,5,129.188,4.7032,124.485
2,6,172.95,47.0356,125.915
2,7,128.778,2.81519,125.962
2,8,172.454,46.5612,125.893
2,9,129.061,4.58929,124.472
2,10,173.416,47.0783,126.337
2,11,129.106,3.25618,125.85
2,12,173.026,46.8996,126.127
2,13,129.653,4.85074,124.803
2,14,173.528,46.8487,126.679
2,15,128.897,4.56339,124.334
2,16,172.512,46.74,125.772
2,17,129.636,5.11104,124.525
2,18,172.927,46.7895,126.138
2,19,129.042,2.64699,126.395
2,20,172.763,46.2736,126.489
2,21,129.288,4.63364,124.654
2,22,173.562,47.324,126.238
2,23,129.53,2.5411,126.988
7,0,0.00753524,0,0.00753524
7,1,4.47967,0,4.47967
7,2,0.00493672,0,0.00493672
7,3,4.42116,0,4.42116
7,4,0.00789465,0,0.00789465
7,5,4.50842,0,4.50842
7,6,0.00696659,0,0.00696659
7,7,4.42547,0,4.42547
7,8,0.00836812,0,0.00836812
7,9,4.47848,0,4.47848
7,10,0.00826799,0,0.00826799
7,11,4.41298,0,4.41298
7,12,0.00983328,0,0.00983328
7,13,4.42924,0,4.42924
7,14,0.00526248,0,0.00526248
7,15,4.40927,0,4.40927
7,16,0.00799602,0,0.00799602
7,17,4.45294,0,4.45294
7,18,0.00800811,0,0.00800811
7,19,4.41508,0,4.41508
7,20,0.00736075,0,0.00736075
7,21,4.41866,0,4.41866
7,22,0.00670965,0,0.00670965
7,23,4.37433,0,4.37433
8,0,7.97539,7.74419,0.231195
8,1,4.04549,1.4718,2.57369
8,2,7.91332,7.66612,0.247199
8,3,3.96492,0.770378,3.19454
8,4,8.00631,7.77288,0.233434
8,5,3.86733,0.965611,2.90172
8,6,7.80628,7.56649,0.239791
8,7,3.99041,1.10218,2.88824
8,8,7.73596,7.49872,0.237237
8,9,3.9174,0.801176,3.11623
8,10,7.6018,7.36517,0.236627
8,11,3.87176,0.596391,3.27537
8,12,7.77757,7.54105,0.236521
8,13,3.92227,1.32301,2.59927
8,14,7.69914,7.46753,0.231608
8,15,3.98387,0.715618,3.26825
8,16,8.08317,7.84953,0.23364
8,17,3.85816,0.803322,3.05484
8,18,7.71747,7.46667,0.250801
8,19,3.92423,1.02381,2.90042
8,20,7.73041,7.48215,0.248264
8,21,4.02584,0.846222,3.17962
8,22,7.54929,7.30217,0.247118
8,23,3.79593,0.445039,3.35089
16,0,0.129202,0,0.129202
16,1,11.3402,0,11.3402
16,2,0.188477,0,0.188477
16,3,10.8074,0,10.8074
16,4,0.158494,0,0.158494
16,5,11.3273,0,11.3273
16,6,0.170492,0,0.170492
16,7,10.925,0,10.925
16,8,0.165649,0,0.165649
16,9,11.4819,0,11.4819
16,10,0.16812,0,0.16812
16,11,10.7184,0,10.7184
16,12,0.170405,0,0.170405
16,13,11.0773,0,11.0773
16,14,0.152849,0,0.152849
16,15,10.8691,0,10.8691
16,16,0.133229,0,0.133229
16,17,11.1987,0,11.1987
16,18,0.200402,0,0.200402
16,19,10.8814,0,10.8814
16,20,0.175543,0,0.175543
16,21,11.2307,0,11.2307
16,22,0.160006,0,0.160006
16,23,10.5102,0,10.5102
17,0,0.274905,0,0.274905
17,1,2.95674,0,2.95674
17,2,0.275366,0,0.275366
17,3,3.1472,0,3.1472
17,4,0.281106,0,0.281106
17,5,3.00382,0,3.00382
17,6,0.2778,0,0.2778
17,7,3.13438,0,3.13438
17,8,0.28472,0,0.28472
17,9,3.00692,0,3.00692
17,10,0.279271,0,0.279271
17,11,3.15858,0,3.15858
17,12,0.286574,0,0.286574
17,13,2.98381,0,2.98381
17,14,0.271211,0,0.271211
17,15,3.14303,0,3.14303
17,16,0.277037,0,0.277037
17,17,2.99016,0,2.99016
17,18,0.288999,0,0.288999
17,19,3.14036,0,3.14036
