Cnode ID, Thread ID,execution,mpi,comp
0,0,188.618,9.57789,179.041
0,1,188.614,7.88482,180.73
0,2,188.614,8.06513,180.549
0,3,188.614,9.2885,179.326
0,4,188.614,10.4109,178.203
0,5,188.62,9.05341,179.566
0,6,188.623,8.59291,180.03
0,7,188.624,8.26592,180.358
0,8,188.626,9.23523,179.391
0,9,188.628,7.71124,180.917
0,10,188.626,7.52031,181.105
0,11,188.627,8.1904,180.437
0,12,188.637,8.0594,180.578
0,13,188.636,8.14522,180.49
0,14,188.636,7.79008,180.846
0,15,188.632,8.41083,180.222
0,16,188.636,9.34252,179.293
0,17,188.636,7.84316,180.793
0,18,188.633,6.48734,182.145
0,19,188.632,5.907,182.725
0,20,188.627,5.46983,183.157
0,21,188.634,6.08933,182.545
0,22,188.63,6.57289,182.057
0,23,188.633,5.88308,182.75
1,0,21.8962,0,21.8962
1,1,22.1551,0,22.1551
1,2,21.8569,0,21.8569
1,3,22.0598,0,22.0598
1,4,22.6662,0,22.6662
1,5,22.6194,0,22.6194
1,6,22.101,0,22.101
1,7,22.4521,0,22.4521
1,8,22.5502,0,22.5502
1,9,22.5362,0,22.5362
1,10,22.232,0,22.232
1,11,22.5109,0,22.5109
1,12,22.0744,0,22.0744
1,13,22.2153,0,22.2153
1,14,21.8499,0,21.8499
1,15,22.0888,0,22.0888
1,16,21.8396,0,21.8396
1,17,22.1014,0,22.1014
1,18,21.5863,0,21.5863
1,19,21.9222,0,21.9222
1,20,21.6407,0,21.6407
1,21,21.8783,0,21.8783
1,22,21.5798,0,21.5798
1,23,21.8651,0,21.8651
2,0,138.751,8.0822,130.669
2,1,138.007,6.35974,131.647
2,2,138.626,6.53253,132.094
2,3,137.987,7.53697,130.45
2,4,137.691,8.57124,129.12
2,5,137.724,7.35697,130.367
2,6,138.163,7.18567,130.977
2,7,137.739,6.77507,130.964
2,8,137.543,7.75299,129.79
2,9,137.422,6.31847,131.103
2,10,137.918,6.15042,131.767
2,11,137.263,6.74514,130.518
2,12,138.064,6.51971,131.544
2,13,137.586,6.69279,130.893
2,14,138.432,6.3407,132.091
2,15,137.582,6.8635,130.718
2,16,138.412,7.89977,130.512
