Cnode ID, Thread ID,execution,mpi,comp
0,0,30.0012,4.36538,25.6358
0,1,30.0012,4.06785,25.9334
0,2,30.0012,4.12125,25.88
0,3,30.0007,4.17809,25.8226
0,4,30.0026,2.91156,27.0911
0,5,30.0031,2.82971,27.1734
0,6,30.0026,2.18079,27.8218
0,7,30.0029,2.14922,27.8537
0,8,30.0041,2.29492,27.7091
0,9,30.0044,1.95748,28.0469
0,10,30.0042,2.15505,27.8492
0,11,30.0042,1.9374,28.0667
0,12,30.0057,2.66311,27.3425
0,13,30.0057,2.54232,27.4634
0,14,30.0059,2.79756,27.2084
0,15,30.0057,2.75327,27.2525
0,16,30.0059,2.55784,27.4481
0,17,30.0059,2.60565,27.4002
0,18,30.0052,3.63241,26.3728
0,19,30.0053,3.69085,26.3144
0,20,30.0048,5.09535,24.9095
0,21,30.0042,5.3356,24.6686
0,22,30.0039,5.30381,24.7001
0,23,30.0039,5.52921,24.4747
1,0,2.73743,0,2.73743
1,1,2.85241,0,2.85241
1,2,2.69971,0,2.69971
1,3,2.80497,0,2.80497
1,4,3.3445,0,3.3445
1,5,3.38315,0,3.38315
1,6,3.28547,0,3.28547
1,7,3.37872,0,3.37872
1,8,3.29791,0,3.29791
1,9,3.34397,0,3.34397
1,10,3.23829,0,3.23829
1,11,3.36185,0,3.36185
1,12,2.71094,0,2.71094
1,13,2.74724,0,2.74724
1,14,2.66972,0,2.66972
1,15,2.74165,0,2.74165
1,16,2.66707,0,2.66707
1,17,2.73792,0,2.73792
1,18,2.69761,0,2.69761
1,19,2.77117,0,2.77117
1,20,2.05225,0,2.05225
1,21,2.06311,0,2.06311
1,22,2.19763,0,2.19763
1,23,2.24419,0,2.24419
2,0,23.2273,3.48289,19.7444
2,1,23.0287,3.05552,19.9732
2,2,23.2531,3.28101,19.9721
2,3,23.0747,3.33904,19.7356
2,4,22.5714,2.32168,20.2497
2,5,22.6004,2.40213,20.1983
2,6,22.7005,1.76039,20.9401
2,7,22.4752,1.8116,20.6636
2,8,22.7489,1.97112,20.7777
2,9,23.0555,1.69687,21.3586
2,10,23.1486,1.87812,21.2705
2,11,23.0603,1.68102,21.3793
2,12,23.251,2.20972,21.0413
2,13,23.5459,2.17325,21.3726
2,14,23.5796,2.41039,21.1692
2,15,23.5608,2.38505,21.1758
2,16,23.4013,2.08547,21.3158
2,17,23.4287,2.14337,21.2853
2,18,23.3907,3.11455,20.2761
2,19,23.4311,3.15599,20.2751
2,20,24.3525,4.36175,19.9907
2,21,24.3721,4.54556,19.8265
2,22,23.8793,4.5189,19.3604
2,23,23.8082,4.65423,19.154
7,0,0.655464,0,0.655464
7,1,0.564287,0,0.564287
7,2,0.648715,0,0.648715
7,3,0.668238,0,0.668238
7,4,0.639643,0,0.639643
7,5,0.697038,0,0.697038
7,6,0.624173,0,0.624173
7,7,0.702319,0,0.702319
7,8,0.671076,0,0.671076
7,9,0.542773,0,0.542773
7,10,0.540231,0,0.540231
7,11,0.535925,0,0.535925
7,12,0.551893,0,0.551893
7,13,0.460286,0,0.460286
7,14,0.462778,0,0.462778
7,15,0.452196,0,0.452196
7,16,0.496007,0,0.496007
7,17,0.4678,0,0.4678
7,18,0.530242,0,0.530242
7,19,0.466287,0,0.466287
7,20,0.454196,0,0.454196
7,21,0.397539,0,0.397539
7,22,0.541645,0,0.541645
7,23,0.459124,0,0.459124
