Cnode ID, Thread ID,execution,mpi,comp
0,0,247.701,58.2664,189.434
0,1,247.747,41.303,206.444
0,2,247.763,44.2286,203.535
0,3,247.801,40.233,207.568
0,4,247.819,40.1254,207.694
0,5,247.822,36.3674,211.455
0,6,247.816,39.1108,208.705
0,7,247.794,55.7676,192.027
0,8,247.782,32.2647,215.517
0,9,247.792,21.0253,226.767
0,10,247.805,19.6403,228.165
0,11,247.827,18.5971,229.23
0,12,247.842,18.4065,229.435
0,13,247.844,18.4299,229.414
0,14,247.841,19.7321,228.109
0,15,247.828,28.5774,219.251
0,16,247.801,28.4307,219.37
0,17,247.852,17.6256,230.226
0,18,247.847,17.7855,230.061
0,19,247.841,20.3177,227.523
0,20,247.852,18.9665,228.886
0,21,247.855,19.592,228.263
0,22,247.854,22.4978,225.356
0,23,247.843,31.9794,215.864
0,24,247.814,45.6812,202.132
0,25,247.814,35.3789,212.435
0,26,247.834,29.436,218.398
0,27,247.833,29.8364,217.996
0,28,247.837,32.3002,215.537
0,29,247.836,30.2766,217.559
0,30,247.834,32.5563,215.277
0,31,247.804,49.2982,198.505
0,32,247.714,59.4837,188.23
0,33,247.75,38.2409,209.509
0,34,247.786,37.1532,210.632
0,35,247.816,30.5574,217.259
0,36,247.831,30.6525,217.179
0,37,247.832,29.0882,218.744
0,38,247.831,32.0071,215.824
0,39,247.808,45.5951,202.212
0,40,247.779,34.164,213.615
0,41,247.808,17.9881,229.82
0,42,247.822,19.877,227.945
0,43,247.835,16.8585,230.977
0,44,247.848,17.2448,230.604
0,45,247.85,18.9089,228.941
0,46,247.852,17.4157,230.436
0,47,247.84,28.5751,219.265
0,48,247.805,26.8869,220.918
0,49,247.831,18.7725,229.058
0,50,247.844,17.0019,230.842
0,51,247.858,17.2997,230.558
0,52,247.873,16.8796,230.993
0,53,247.871,17.6248,230.247
0,54,247.872,18.2534,229.618
0,55,247.86,21.9167,225.943
0,56,247.771,41.5078,206.263
0,57,247.812,27.3565,220.456
0,58,247.811,32.9722,214.839
0,59,247.832,29.6247,218.207
0,60,247.85,30.4947,217.356
0,61,247.851,27.8894,219.961
0,62,247.847,35.0883,212.759
0,63,247.833,45.9802,201.853
0,64,247.745,47.4301,200.315
0,65,247.788,34.8479,212.94
0,66,247.817,34.6098,213.208
0,67,247.822,32.0344,215.788
0,68,247.824,29.0212,218.803
0,69,247.834,29.885,217.949
0,70,247.832,33.4915,214.341
0,71,247.828,47.5026,200.325
0,72,247.777,28.3449,219.432
0,73,247.834,18.0126,229.821
0,74,247.85,18.4561,229.394
0,75,247.854,17.8354,230.019
0,76,247.854,18.0433,229.811
0,77,247.854,20.5433,227.311
0,78,247.855,18.2901,229.565
0,79,247.844,30.4188,217.425
0,80,247.772,35.1765,212.596
0,81,247.785,21.4313,226.354
0,82,247.814,20.7974,227.016
0,83,247.834,21.7415,226.093
0,84,247.857,20.0222,227.834
0,85,247.856,20.649,227.208
0,86,247.854,20.9182,226.935
0,87,247.839,28.0736,219.766
0,88,247.749,54.8338,192.915
0,89,247.77,39.4108,208.359
0,90,247.773,36.6426,211.13
0,91,247.837,34.916,212.921
0,92,247.852,31.4145,216.437
0,93,247.852,29.3745,218.478
0,94,247.844,31.3933,216.451
0,95,247.825,49.3322,198.493
0,96,247.739,40.778,206.961
0,97,247.801,37.6033,210.198
0,98,247.833,30.6437,217.189
0,99,247.832,30.8011,217.031
0,100,247.841,36.8931,210.948
0,101,247.839,33.4334,214.405
0,102,247.838,38.5537,209.284
0,103,247.833,47.0393,200.793
0,104,247.791,35.7895,212.002
0,105,247.822,25.7884,222.034
0,106,247.849,21.0193,226.83
0,107,247.852,21.5793,226.273
0,108,247.854,22.8814,224.973
0,109,247.848,24.733,223.115
0,110,247.853,23.9896,223.864
0,111,247.848,30.507,217.341
0,112,247.816,34.8481,212.968
0,113,247.862,20.4471,227.415
0,114,247.86,19.5169,228.343
0,115,247.861,18.9167,228.945
0,116,247.863,19.5765,228.287
0,117,247.862,20.8206,227.042
0,118,247.862,19.1354,228.727
0,119,247.854,29.1894,218.665
0,120,247.8,46.8262,200.974
0,121,247.822,27.3491,220.473
0,122,247.82,26.596,221.224
0,123,247.835,29.4946,218.34
0,124,247.841,29.0672,218.774
0,125,247.845,28.5948,219.251
0,126,247.844,31.0317,216.812
0,127,247.839,43.0918,204.747
1,0,2.81948,0,2.81948
1,1,4.43206,0,4.43206
1,2,3.9075,0,3.9075
1,3,4.05834,0,4.05834
1,4,3.73177,0,3.73177
1,5,4.8819,0,4.8819
1,6,3.90984,0,3.90984
1,7,3.08583,0,3.08583
1,8,6.00375,0,6.00375
1,9,4.79648,0,4.79648
1,10,4.73234,0,4.73234
1,11,4.77812,0,4.77812
1,12,4.20294,0,4.20294
1,13,4.08064,0,4.08064
1,14,4.4874,0,4.4874
1,15,4.44435,0,4.44435
1,16,5.95987,0,5.95987
1,17,4.9717,0,4.9717
1,18,4.86361,0,4.86361
1,19,4.87087,0,4.87087
1,20,4.32389,0,4.32389
1,21,5.97782,0,5.97782
1,22,3.85656,0,3.85656
1,23,4.19893,0,4.19893
1,24,5.26576,0,5.26576
1,25,3.20658,0,3.20658
1,26,4.50025,0,4.50025
1,27,5.6007,0,5.6007
1,28,4.84948,0,4.84948
1,29,5.72862,0,5.72862
