Cnode ID, Thread ID,execution,mpi,comp
0,0,422.866,104.495,318.371
0,1,422.917,94.239,328.678
0,2,422.885,87.7701,335.115
0,3,422.926,70.3344,352.592
0,4,422.935,50.2654,372.67
0,5,422.955,52.3143,370.641
0,6,422.993,48.8299,374.163
0,7,422.989,58.3523,364.636
0,8,423.035,33.0943,389.94
0,9,423.044,29.1895,393.854
0,10,423.043,36.1914,386.852
0,11,423.039,31.1558,391.883
0,12,423.031,31.6528,391.378
0,13,423.028,33.434,389.594
0,14,423.007,33.6486,389.358
0,15,423,36.3725,386.627
0,16,422.927,80.09,342.837
0,17,422.847,79.4378,343.409
0,18,422.848,95.8462,327.002
0,19,422.811,110.635,312.176
0,20,422.715,113.548,309.167
0,21,422.892,112.337,310.555
0,22,422.945,108.524,314.421
0,23,422.931,108.248,314.683
0,24,422.952,65.3261,357.626
0,25,422.985,54.9574,368.027
0,26,422.974,56.8786,366.095
0,27,422.991,52.2788,370.713
0,28,422.998,39.2377,383.76
0,29,422.993,46.2491,376.743
0,30,422.997,38.759,384.238
0,31,422.997,43.4579,379.539
0,32,422.977,55.1158,367.861
0,33,422.984,40.0052,382.979
0,34,422.967,45.3117,377.655
0,35,422.966,44.021,378.945
0,36,422.957,48.0374,374.92
0,37,422.914,53.242,369.672
0,38,422.895,41.5433,381.351
0,39,422.842,61.2383,361.604
0,40,422.828,110.928,311.9
0,41,422.749,110.034,312.714
0,42,422.848,108.627,314.221
0,43,422.905,109.463,313.442
0,44,422.91,104.846,318.064
0,45,422.936,91.0455,331.891
0,46,422.992,76.4952,346.497
0,47,422.985,81.5477,341.438
0,48,423.017,29.7851,393.232
0,49,423.046,25.105,397.941
0,50,423.03,34.186,388.844
0,51,423.025,25.676,397.349
0,52,423.043,25.152,397.891
0,53,423.034,30.5168,392.517
0,54,423.046,25.7318,397.314
0,55,423.023,30.954,392.069
0,56,422.988,48.6733,374.315
0,57,423.003,43.4058,379.597
0,58,422.943,45.1207,377.822
0,59,422.902,44.2628,378.639
0,60,422.866,61.2329,361.633
0,61,422.858,85.9399,336.918
0,62,422.85,83.192,339.659
0,63,422.732,89.4698,333.262
0,64,422.711,328.756,93.9559
0,65,422.759,324.178,98.5802
0,66,422.796,323.802,98.994
0,67,422.796,323.927,98.8684
0,68,422.796,321.435,101.361
0,69,422.803,321.858,100.945
0,70,422.803,322.36,100.443
0,71,422.803,324.722,98.0815
0,72,422.863,316.248,106.615
0,73,422.864,312.088,110.776
0,74,422.864,312.865,109.999
0,75,422.933,312.705,110.228
0,76,422.933,311.023,111.91
0,77,422.934,310.354,112.579
0,78,422.923,312.129,110.794
0,79,422.911,317.551,105.36
0,80,422.912,309.546,113.366
0,81,422.905,304.738,118.167
0,82,422.938,302.43,120.508
0,83,422.961,303.128,119.833
0,84,422.961,303.431,119.53
0,85,422.961,301.35,121.611
0,86,422.941,302.243,120.698
0,87,422.936,308.346,114.59
0,88,422.937,308.33,114.606
0,89,422.917,301.882,121.035
0,90,422.94,300.11,122.83
0,91,422.95,301.247,121.703
0,92,422.951,299.028,123.923
0,93,422.95,298.872,124.078
0,94,422.947,299.217,123.73
0,95,422.943,305.796,117.147
0,96,422.95,310.075,112.875
0,97,422.941,303.018,119.923
