Cnode ID, Thread ID,execution,mpi,comp
0,0,217.178,31.1143,186.064
0,1,217.184,23.0661,194.118
0,2,217.179,22.5407,194.639
0,3,217.153,32.0512,185.102
0,4,217.186,19.4532,197.732
0,5,217.202,14.1121,203.09
0,6,217.2,14.4294,202.77
0,7,217.19,18.3793,198.811
0,8,217.204,15.116,202.088
0,9,217.217,14.6426,202.575
0,10,217.22,15.2313,201.988
0,11,217.207,16.3038,200.903
0,12,217.184,26.1781,191.006
0,13,217.205,16.016,201.189
0,14,217.207,15.8788,201.328
0,15,217.203,24.5877,192.616
0,16,217.186,30.098,187.088
0,17,217.196,19.3739,197.822
0,18,217.197,19.9388,197.258
0,19,217.159,32.9757,184.183
0,20,217.195,19.7932,197.402
0,21,217.21,15.8982,201.312
0,22,217.208,15.1278,202.08
0,23,217.201,20.9623,196.239
0,24,217.211,18.6025,198.608
0,25,217.226,16.1407,201.086
0,26,217.226,15.1318,202.094
0,27,217.214,18.8086,198.406
0,28,217.203,23.2678,193.935
0,29,217.217,15.7485,201.469
0,30,217.216,15.3285,201.888
0,31,217.214,27.7346,189.479
0,32,217.183,33.9844,183.199
0,33,217.19,21.3473,195.843
0,34,217.19,21.5943,195.596
0,35,217.172,30.7583,186.414
0,36,217.205,21.3625,195.842
0,37,217.21,14.9132,202.297
0,38,217.209,15.186,202.024
0,39,217.203,19.3051,197.898
0,40,217.211,18.3485,198.863
0,41,217.231,13.9707,203.261
0,42,217.232,14.0328,203.2
0,43,217.218,16.0412,201.177
0,44,217.219,23.3824,193.836
0,45,217.222,15.1285,202.093
0,46,217.221,15.0487,202.172
0,47,217.215,24.0307,193.184
0,48,217.184,32.3388,184.845
0,49,217.193,21.4345,195.758
0,50,217.199,21.9588,195.24
0,51,217.186,30.2058,186.98
0,52,217.205,20.5679,196.637
0,53,217.217,16.146,201.071
0,54,217.222,15.7913,201.431
0,55,217.203,19.9218,197.281
0,56,217.219,17.9284,199.291
0,57,217.236,14.5573,202.679
0,58,217.238,13.9638,203.274
0,59,217.224,17.0225,200.201
0,60,217.224,25.8288,191.395
0,61,217.225,16.8736,200.352
0,62,217.226,16.271,200.955
0,63,217.219,24.3742,192.845
0,64,217.153,37.7806,179.373
0,65,217.189,27.5176,189.671
0,66,217.19,27.6263,189.563
0,67,217.187,35.1827,182.004
0,68,217.197,25.611,191.586
0,69,217.212,19.7122,197.499
0,70,217.212,19.0425,198.169
0,71,217.206,23.4504,193.756
0,72,217.197,24.7844,192.413
0,73,217.215,16.5796,200.635
0,74,217.228,16.1289,201.099
0,75,217.223,20.6394,196.584
0,76,217.207,25.781,191.426
0,77,217.225,17.5473,199.678
0,78,217.226,16.4999,200.726
0,79,217.222,25.4725,191.749
0,80,217.165,34.0078,183.158
0,81,217.182,21.21,195.972
0,82,217.189,22.1291,195.06
0,83,217.174,30.8593,186.315
0,84,217.197,20.9655,196.232
0,85,217.206,17.4932,199.713
0,86,217.214,16.688,200.526
0,87,217.195,21.5892,195.606
0,88,217.21,17.979,199.231
0,89,217.225,15.7724,201.453
0,90,217.228,15.2073,202.021
0,91,217.215,16.3542,200.861
